,home,score,away,Year
0,Qatar ,0–2, Ecuador,2022
1,Senegal ,0–2, Netherlands,2022
2,Qatar ,1–3, Senegal,2022
3,Netherlands ,1–1, Ecuador,2022
4,Ecuador ,1–2, Senegal,2022
5,Netherlands ,2–0, Qatar,2022
6,England ,6–2, Iran,2022
7,United States ,1–1, Wales,2022
8,Wales ,0–2, Iran,2022
9,England ,0–0, United States,2022
10,Wales ,0–3, England,2022
11,Iran ,0–1, United States,2022
12,Argentina ,1–2, Saudi Arabia,2022
13,Mexico ,0–0, Poland,2022
14,Poland ,2–0, Saudi Arabia,2022
15,Argentina ,2–0, Mexico,2022
16,Poland ,0–2, Argentina,2022
17,Saudi Arabia ,1–2, Mexico,2022
18,Denmark ,0–0, Tunisia,2022
19,France ,4–1, Australia,2022
20,Tunisia ,0–1, Australia,2022
21,France ,2–1, Denmark,2022
22,Australia ,1–0, Denmark,2022
23,Tunisia ,1–0, France,2022
24,Germany ,1–2, Japan,2022
25,Spain ,7–0, Costa Rica,2022
26,Japan ,0–1, Costa Rica,2022
27,Spain ,1–1, Germany,2022
28,Japan ,2–1, Spain,2022
29,Costa Rica ,2–4, Germany,2022
30,Morocco ,0–0, Croatia,2022
31,Belgium ,1–0, Canada,2022
32,Belgium ,0–2, Morocco,2022
33,Croatia ,4–1, Canada,2022
34,Croatia ,0–0, Belgium,2022
35,Canada ,1–2, Morocco,2022
36,Switzerland ,1–0, Cameroon,2022
37,Brazil ,2–0, Serbia,2022
38,Cameroon ,3–3, Serbia,2022
39,Brazil ,1–0, Switzerland,2022
40,Serbia ,2–3, Switzerland,2022
41,Cameroon ,1–0, Brazil,2022
42,Uruguay ,0–0, South Korea,2022
43,Portugal ,3–2, Ghana,2022
44,South Korea ,2–3, Ghana,2022
45,Portugal ,2–0, Uruguay,2022
46,Ghana ,0–2, Uruguay,2022
47,South Korea ,2–1, Portugal,2022
48,Netherlands ,3–1, United States,2022
49,Argentina ,2–1, Australia,2022
50,France ,3–1, Poland,2022
51,England ,3–0, Senegal,2022
52,Japan ,1–1 (a.e.t.), Croatia,2022
53,Brazil ,4–1, South Korea,2022
54,Morocco ,0–0 (a.e.t.), Spain,2022
55,Portugal ,6–1, Switzerland,2022
56,Croatia ,1–1 (a.e.t.), Brazil,2022
57,Netherlands ,2–2 (a.e.t.), Argentina,2022
58,Morocco ,1–0, Portugal,2022
59,England ,1–2, France,2022
60,Argentina ,3–0, Croatia,2022
61,France ,2–0, Morocco,2022
62,Croatia ,2–1, Morocco,2022
63,Argentina ,3–3 (a.e.t.), France,2022
